Gold market premium/discount data,,,,,,,,,,,,,
,,,,,,,,,,,,,
Indian Premium/Discount (US$/oz),,,,"The Indian premium/discount data is sourced from NCDEX (one of the commodity exchanges in India), which started publishing this data from 21 May 2015. Prior to that, premium/discount was calculated using the 'Premia Sheet-Old' worksheet. More information can be found in the accompanying metholdogy note. *Polled Premium for 995 Gold at Ahmedabad in USD/troy oz.",,,,,,,,,
Source: MCX; RBI; NCDEX; World Gold Council,,,,,,,,,,,,,
,,,,,,,,,,,,,
2012-07-09,-5.6,,,,,,,,,,,,
2012-07-10,-16.2,,,,,,,,,,,,
2012-07-11,-1.7,,,,,,,,,,,,
2012-07-12,-2.0,,,,,,,,,,,,
2012-07-13,-13.9,,,,,,,,,,,,
2012-07-16,5.9,,,,,,,,,,,,
2012-07-17,-7.9,,,,,,,,,,,,
2012-07-18,-4.3,,,,,,,,,,,,
2012-07-19,-6.7,,,,,,,,,,,,
2012-07-20,-4.5,,,,,,,,,,,,
2012-07-23,-1.9,,,,,,,,,,,,
2012-07-24,-5.0,,,,,,,,,,,,
2012-07-25,-13.3,,,,,,,,,,,,
2012-07-26,-9.6,,,,,,,,,,,,
2012-07-27,-8.5,,,,,,,,,,,,
2012-07-30,-9.7,,,,,,,,,,,,
2012-07-31,-20.5,,,,,,,,,,,,
2012-08-01,-11.5,,,,,,,,,,,,
2012-08-02,-12.2,,,,,,,,,,,,
2012-08-03,-13.7,,,,,,,,,,,,
2012-08-06,-3.8,,,,,,,,,,,,
2012-08-07,-12.0,,,,,,,,,,,,
2012-08-08,-1.0,,,,,,,,,,,,
2012-08-09,-1.1,,,,,,,,,,,,
2012-08-10,-1.9,,,,,,,,,,,,
2012-08-13,-4.4,,,,,,,,,,,,
2012-08-14,-8.6,,,,,,,,,,,,
2012-08-15,-8.6,,,,,,,,,,,,
2012-08-16,-11.4,,,,,,,,,,,,
2012-08-17,-10.8,,,,,,,,,,,,
2012-08-20,-10.8,,,,,,,,,,,,
2012-08-21,-10.3,,,,,,,,,,,,
2012-08-22,-12.4,,,,,,,,,,,,
2012-08-23,-12.2,,,,,,,,,,,,
2012-08-24,-9.7,,,,,,,,,,,,
2012-08-27,-9.7,,,,,,,,,,,,
2012-08-28,-17.3,,,,,,,,,,,,
2012-08-29,-10.6,,,,,,,,,,,,
2012-08-30,-11.6,,,,,,,,,,,,
2012-08-31,-11.6,,,,,,,,,,,,
2012-09-03,-10.6,,,,,,,,,,,,
2012-09-04,-8.2,,,,,,,,,,,,
2012-09-05,-8.9,,,,,,,,,,,,
2012-09-06,-19.0,,,,,,,,,,,,
2012-09-07,-13.9,,,,,,,,,,,,
2012-09-10,-6.6,,,,,,,,,,,,
2012-09-11,-12.4,,,,,,,,,,,,
2012-09-12,-8.5,,,,,,,,,,,,
2012-09-13,-8.1,,,,,,,,,,,,
2012-09-14,-16.5,,,,,,,,,,,,
2012-09-17,-9.9,,,,,,,,,,,,
2012-09-18,-15.2,,,,,,,,,,,,
2012-09-19,-15.2,,,,,,,,,,,,
2012-09-20,-10.4,,,,,,,,,,,,
2012-09-21,-19.0,,,,,,,,,,,,
2012-09-24,-1.1,,,,,,,,,,,,
2012-09-25,-12.4,,,,,,,,,,,,
2012-09-26,-9.3,,,,,,,,,,,,
2012-09-27,-8.6,,,,,,,,,,,,
2012-09-28,-9.8,,,,,,,,,,,,
2012-10-01,-14.3,,,,,,,,,,,,
2012-10-02,-14.3,,,,,,,,,,,,
2012-10-03,-10.5,,,,,,,,,,,,
2012-10-04,-11.5,,,,,,,,,,,,
2012-10-05,3.6,,,,,,,,,,,,
2012-10-08,5.5,,,,,,,,,,,,
2012-10-09,9.8,,,,,,,,,,,,
2012-10-10,-2.7,,,,,,,,,,,,
2012-10-11,-13.4,,,,,,,,,,,,
2012-10-12,-2.0,,,,,,,,,,,,
2012-10-15,-9.7,,,,,,,,,,,,
2012-10-16,2.1,,,,,,,,,,,,
2012-10-17,2.5,,,,,,,,,,,,
2012-10-18,-3.4,,,,,,,,,,,,
2012-10-19,1.7,,,,,,,,,,,,
2012-10-22,-7.2,,,,,,,,,,,,
2012-10-23,-4.0,,,,,,,,,,,,
2012-10-24,-4.0,,,,,,,,,,,,
2012-10-25,-2.8,,,,,,,,,,,,
2012-10-26,-2.8,,,,,,,,,,,,
2012-10-29,2.4,,,,,,,,,,,,
2012-10-30,-9.9,,,,,,,,,,,,
2012-10-31,-10.3,,,,,,,,,,,,
2012-11-01,-5.3,,,,,,,,,,,,
2012-11-02,-2.0,,,,,,,,,,,,
2012-11-05,9.7,,,,,,,,,,,,
2012-11-06,-12.0,,,,,,,,,,,,
2012-11-07,-16.7,,,,,,,,,,,,
2012-11-08,-3.8,,,,,,,,,,,,
2012-11-09,4.0,,,,,,,,,,,,
2012-11-12,-4.4,,,,,,,,,,,,
2012-11-13,-4.4,,,,,,,,,,,,
2012-11-14,-4.4,,,,,,,,,,,,
2012-11-15,6.5,,,,,,,,,,,,
2012-11-16,19.0,,,,,,,,,,,,
2012-11-19,-3.4,,,,,,,,,,,,
2012-11-20,-3.0,,,,,,,,,,,,
2012-11-21,-6.7,,,,,,,,,,,,
2012-11-22,-3.5,,,,,,,,,,,,
2012-11-23,-3.6,,,,,,,,,,,,
2012-11-26,-6.0,,,,,,,,,,,,
2012-11-27,-14.6,,,,,,,,,,,,
2012-11-28,-14.6,,,,,,,,,,,,
2012-11-29,-16.6,,,,,,,,,,,,
2012-11-30,-6.9,,,,,,,,,,,,
2012-12-03,-3.7,,,,,,,,,,,,
2012-12-04,-14.3,,,,,,,,,,,,
2012-12-05,-6.5,,,,,,,,,,,,
2012-12-06,-15.3,,,,,,,,,,,,
2012-12-07,4.4,,,,,,,,,,,,
2012-12-10,2.8,,,,,,,,,,,,
2012-12-11,-5.0,,,,,,,,,,,,
2012-12-12,-5.4,,,,,,,,,,,,
2012-12-13,3.7,,,,,,,,,,,,
2012-12-14,0.8,,,,,,,,,,,,
2012-12-17,-2.5,,,,,,,,,,,,
2012-12-18,-2.4,,,,,,,,,,,,
2012-12-19,-8.4,,,,,,,,,,,,
2012-12-20,-2.8,,,,,,,,,,,,
2012-12-21,-1.0,,,,,,,,,,,,
2012-12-24,-9.0,,,,,,,,,,,,
2012-12-25,-9.0,,,,,,,,,,,,
2012-12-26,-9.0,,,,,,,,,,,,
2012-12-27,-3.0,,,,,,,,,,,,
2012-12-28,-5.0,,,,,,,,,,,,
2012-12-31,-6.4,,,,,,,,,,,,
2013-01-01,-6.4,,,,,,,,,,,,
2013-01-02,-3.8,,,,,,,,,,,,
2013-01-03,4.8,,,,,,,,,,,,
2013-01-04,19.1,,,,,,,,,,,,
2013-01-07,10.5,,,,,,,,,,,,
2013-01-08,-7.7,,,,,,,,,,,,
2013-01-09,-4.6,,,,,,,,,,,,
2013-01-10,-5.5,,,,,,,,,,,,
2013-01-11,2.4,,,,,,,,,,,,
2013-01-14,-5.7,,,,,,,,,,,,
2013-01-15,-15.1,,,,,,,,,,,,
2013-01-16,-6.8,,,,,,,,,,,,
2013-01-17,-16.4,,,,,,,,,,,,
2013-01-18,-6.7,,,,,,,,,,,,
2013-01-21,-40.0,,,,,,,,,,,,
2013-01-22,-12.4,,,,,,,,,,,,
2013-01-23,-23.5,,,,,,,,,,,,
2013-01-24,-18.6,,,,,,,,,,,,
2013-01-25,-18.6,,,,,,,,,,,,
2013-01-28,-15.7,,,,,,,,,,,,
2013-01-29,-10.8,,,,,,,,,,,,
2013-01-30,-20.1,,,,,,,,,,,,
2013-01-31,-21.6,,,,,,,,,,,,
2013-02-01,-25.1,,,,,,,,,,,,
2013-02-04,-3.9,,,,,,,,,,,,
2013-02-05,-13.2,,,,,,,,,,,,
2013-02-06,-3.6,,,,,,,,,,,,
2013-02-07,-5.6,,,,,,,,,,,,
2013-02-08,-7.4,,,,,,,,,,,,
2013-02-11,-6.0,,,,,,,,,,,,
2013-02-12,-4.6,,,,,,,,,,,,
2013-02-13,-6.0,,,,,,,,,,,,
2013-02-14,-5.6,,,,,,,,,,,,
2013-02-15,0.8,,,,,,,,,,,,
2013-02-18,-4.1,,,,,,,,,,,,
